Frequency,Absorbance
0.89891,0.14095
0.91624,0.11467
0.92596,0.15061
0.94727,0.18658
0.9404,0.12672
0.95493,0.1507
0.97435,0.2106
0.97429,0.18068
1.00527,0.22387
0.99362,0.18673
1.0304,0.23711
1.05161,0.21982
1.06328,0.26354
1.08266,0.30669
1.09032,0.26682
1.11175,0.37141
1.10974,0.32672
1.10484,0.2918
1.12198,0.42351
1.13129,0.49835
1.12928,0.45645
1.13911,0.55024
1.1291,0.35471
1.14891,0.63305
1.14884,0.59016
1.13887,0.42057
1.16066,0.72106
1.15864,0.67398
1.15351,0.50739
1.14863,0.47446
1.16861,0.84556
1.16855,0.80966
1.16848,0.77375
1.15843,0.55828
1.18088,0.95632
1.17839,0.91342
1.17832,0.87751
1.16823,0.6361
1.18825,1.02815
1.18818,0.98925
1.17807,0.73787
1.17798,0.69
1.20077,0.8297
1.20761,1.05315
1.20984,0.95042
1.20735,0.90952
1.20728,0.87361
1.21719,1.01328
1.21714,0.98336
1.21676,0.7751
1.22651,0.82579
1.23316,0.94551
1.23147,0.89962
1.23623,0.86173
1.23598,0.72608
1.23648,1.00137
1.24092,0.78594
1.24555,0.67824
1.24548,0.64233
1.24581,0.82186
1.25749,0.60945
1.25534,0.75008
1.25527,0.71417
1.26708,0.57058
1.26459,0.52868
1.26484,0.66633
1.27418,0.4928
1.28376,0.45393
1.28391,0.53473
1.29832,0.49288
1.30496,0.42827
1.32956,0.41817
1.34401,0.39876
1.37254,0.42369
1.3609,0.39732
1.3996,0.43933
1.40194,0.39745
1.4305,0.44062
1.41885,0.40348
1.45514,0.45147
1.47684,0.43358
1.48896,0.46354
1.51553,0.47161
1.51305,0.43519
1.54645,0.48407
1.53962,0.44575
1.57353,0.51068
1.60259,0.56264
1.6025,0.51177
1.62196,0.59412
1.62662,0.50287
1.64328,0.63638
1.64127,0.59568
1.66268,0.68671
1.6705,0.73939
1.66548,0.63465
1.68263,0.77384
1.69235,0.81128
1.68009,0.70352
1.68002,0.66761
1.7021,0.86217
1.70942,0.90309
1.71916,0.95199
1.70926,0.81731
1.72892,1.00589
1.72544,0.86723
1.73361,0.93109
1.75021,1.03408
1.74335,0.979
1.77727,1.04693
1.7772,1.01102
1.80138,1.03304
1.80615,0.99914
1.80609,0.96722
1.82727,0.93617
1.82544,0.99122
1.83492,0.89151
1.8445,0.85364
1.84464,0.93144
1.85423,0.89556
1.86617,0.82079
1.86369,0.78587
1.86383,0.85968
1.89266,0.78796
1.8926,0.75404
1.92158,0.76411
