Frequency,Absorbance
0.89231,0.10126
0.8907,0.08619
0.91002,0.10428
0.91002,0.09222
0.90841,0.07916
0.92933,0.10126
0.92933,0.08921
0.92933,0.07715
0.95026,0.10729
0.94865,0.09222
0.94704,0.07916
0.96958,0.11935
0.96797,0.10428
0.96314,0.09072
0.98729,0.13141
0.98729,0.11935
0.98729,0.10277
1.0066,0.12839
1.0066,0.11634
1.0066,0.10579
1.02753,0.12538
1.02431,0.1083
1.04524,0.13141
1.04524,0.11935
1.04524,0.10729
1.05651,0.14346
1.06455,0.12387
1.07582,0.15552
1.07421,0.14045
1.08387,0.12086
1.09353,0.16155
1.09353,0.14949
1.09353,0.13743
1.10319,0.12312
1.11285,0.16757
1.11285,0.15552
1.11285,0.14346
1.11768,0.13141
1.13378,0.16757
1.13217,0.1525
1.13217,0.14195
1.15148,0.17963
1.15148,0.16757
1.15148,0.15552
1.15148,0.14346
1.16114,0.19169
1.1708,0.20374
1.1708,0.17963
1.1708,0.16757
1.1708,0.15552
1.1708,0.14346
1.18046,0.19169
1.19012,0.20374
1.19173,0.17662
1.20139,0.19169
1.20943,0.20977
1.20783,0.17059
1.2207,0.19772
1.21909,0.18265
1.23036,0.2158
1.24002,0.19772
1.23358,0.18114
1.24968,0.22786
1.24807,0.21279
1.269,0.23388
1.26578,0.21781
1.2867,0.24594
1.28509,0.23087
1.30763,0.24594
1.30602,0.23087
1.32534,0.25197
1.32695,0.2369
1.32051,0.22786
1.34627,0.258
1.34305,0.24192
1.36397,0.26403
1.36236,0.24896
1.38329,0.26403
1.38168,0.24896
1.39134,0.2369
1.40261,0.26403
1.40261,0.25197
1.40261,0.22786
1.41227,0.23991
1.42193,0.26403
1.42193,0.25197
1.4171,0.22786
1.43158,0.24142
1.44285,0.26403
1.44124,0.25046
1.46217,0.27005
1.46056,0.25649
1.47988,0.27608
1.47988,0.26403
1.4992,0.28211
1.49759,0.26704
1.50885,0.258
1.52012,0.28211
1.51851,0.26704
1.53944,0.28814
1.533,0.27156
1.55715,0.30019
1.55554,0.28512
1.57646,0.30622
1.57646,0.28965
1.59578,0.31225
1.59578,0.30019
1.59578,0.28362
1.6151,0.31828
1.61671,0.30321
1.61027,0.29417
1.61027,0.28211
1.63442,0.32431
1.63442,0.31225
1.63603,0.29718
1.65534,0.33034
1.65373,0.31527
1.65373,0.30321
1.65212,0.28914
1.67466,0.34239
1.67305,0.32732
1.67305,0.31527
1.67305,0.30321
1.67305,0.29115
1.67305,0.2806
1.69237,0.34842
1.69237,0.33636
1.69237,0.32431
1.69237,0.31225
1.69237,0.29567
1.7133,0.34842
1.71169,0.33335
1.71169,0.32129
1.71169,0.30924
1.71008,0.29517
1.73261,0.36048
1.731,0.34691
1.72617,0.33636
1.72617,0.32431
1.72617,0.31225
1.72617,0.29567
1.75193,0.36651
1.74871,0.34943
1.77125,0.37856
1.76964,0.36349
1.76803,0.35043
1.79057,0.38459
1.78896,0.36952
1.78735,0.35545
1.79861,0.34691
1.80827,0.39665
1.80827,0.38459
1.80988,0.36952
1.80344,0.36048
1.8292,0.40267
1.82598,0.38559
1.84852,0.4087
1.8453,0.39162
1.85818,0.37957
1.86783,0.42076
1.86622,0.40569
1.86622,0.39363
1.87588,0.38007
1.88715,0.42679
1.88554,0.41172
1.88554,0.40117
1.88071,0.39062
1.90486,0.43282
1.90486,0.42076
1.90486,0.4087
1.90647,0.39363
1.92579,0.43884
1.92418,0.42377
1.92418,0.41172
1.92418,0.40117
1.91935,0.39062
1.9451,0.4509
1.94188,0.43482
1.96442,0.45693
1.95798,0.44487
1.98213,0.46898
1.98213,0.45241
2.00306,0.47501
2.00145,0.45994
1.99662,0.4509
2.02237,0.48104
2.02076,0.46597
2.02076,0.45542
2.04008,0.49913
2.04008,0.48707
2.04008,0.47501
2.04008,0.45844
2.0594,0.50515
2.0594,0.4931
2.06101,0.47803
2.05457,0.46898
2.07872,0.51118
2.07872,0.49913
2.07872,0.48255
2.09964,0.51721
2.09803,0.50214
2.09803,0.49008
2.09803,0.47953
2.11896,0.52324
2.11574,0.50616
2.13828,0.53529
2.13667,0.52022
2.13506,0.50616
2.15598,0.54735
2.15598,0.53529
2.15598,0.52324
2.15438,0.50817
2.16725,0.50013
2.1753,0.55338
2.1753,0.54132
2.1753,0.52927
2.17691,0.5142
2.19462,0.55338
2.19462,0.54132
2.19462,0.52927
2.19462,0.51269
2.21394,0.55338
2.21394,0.54132
2.21394,0.52927
2.21394,0.51269
2.23325,0.55639
2.23325,0.54434
2.23325,0.53228
2.23325,0.52022
2.23325,0.50967
2.25257,0.55941
2.25257,0.54735
2.25257,0.53529
2.25257,0.52324
2.25257,0.51118
2.27189,0.55941
2.27189,0.54735
2.27189,0.53529
2.2735,0.52022
2.26706,0.51118
2.29282,0.56544
2.29121,0.55037
2.29121,0.53831
2.29121,0.52776
2.31213,0.57749
2.31052,0.56242
2.31052,0.55037
2.30569,0.5368
2.33145,0.58955
2.32984,0.57448
2.32984,0.56242
2.32823,0.54836
2.34916,0.59558
2.34916,0.58352
2.34916,0.57146
2.34916,0.55941
2.34916,0.54735
2.37009,0.59558
2.36848,0.58051
2.36848,0.56845
2.36848,0.55639
2.36365,0.54735
2.38779,0.60763
2.38779,0.59558
2.38779,0.58352
2.38779,0.57146
2.38779,0.55941
2.39906,0.61969
2.40872,0.59859
2.40228,0.58955
2.40228,0.57749
2.40228,0.56544
2.41838,0.62572
2.41677,0.61065
2.4377,0.63175
2.43609,0.61668
2.43609,0.60613
2.45701,0.64983
2.4554,0.63476
2.4554,0.6227
2.4554,0.61065
2.4554,0.6001
2.47633,0.66189
2.47472,0.64682
2.47472,0.63476
2.47472,0.6227
2.47472,0.60914
2.46989,0.6016
2.49565,0.67394
2.49404,0.65887
2.49243,0.64581
2.51497,0.686
2.51336,0.67093
2.50853,0.65737
2.53428,0.69203
2.53267,0.67696
2.52784,0.66791
2.55199,0.71011
2.55199,0.69806
2.55199,0.68148
2.57292,0.71011
2.57131,0.69504
2.5697,0.68098
2.58097,0.7282
2.59224,0.71614
2.59063,0.70107
2.5858,0.68751
2.60189,0.73422
2.61155,0.71614
2.60994,0.70107
2.6196,0.74327
2.6196,0.73121
2.63087,0.71614
2.62926,0.70107
2.62926,0.68901
2.62926,0.67696
2.62926,0.66641
2.63892,0.74628
2.63892,0.73422
2.64858,0.75834
2.64858,0.72217
2.64858,0.71011
2.64858,0.69806
2.64858,0.686
2.64858,0.67394
2.65985,0.74628
2.65824,0.73121
2.66789,0.76437
2.67916,0.75231
2.67755,0.73724
2.67755,0.72669
2.68882,0.77039
