Frequency,Absorbance
0.88386,0.06919
0.88386,0.06248
0.89516,0.0759
0.90323,0.06584
0.90323,0.05997
0.91291,0.07758
0.91291,0.07087
0.92259,0.06332
0.93227,0.0759
0.93227,0.06919
0.94195,0.06248
0.95164,0.0759
0.95164,0.06919
0.96293,0.08261
0.96132,0.06416
0.971,0.07255
0.9823,0.09267
0.98068,0.08429
0.98068,0.07842
1.00005,0.09603
1.00005,0.08932
1.00005,0.08261
1.01941,0.09603
1.01941,0.08932
1.01941,0.08261
1.04039,0.09603
1.03878,0.08764
1.03394,0.08261
1.05975,0.10609
1.05814,0.09771
1.05814,0.091
1.0533,0.08596
1.07912,0.1128
1.07751,0.10441
1.07751,0.09854
1.09687,0.11951
1.09687,0.1128
1.09687,0.10693
1.09203,0.10106
1.11623,0.11951
1.11623,0.1128
1.11623,0.10777
1.13721,0.12286
1.1356,0.11448
1.1356,0.10861
1.15496,0.13293
1.15496,0.12622
1.15496,0.11951
1.15012,0.11448
1.17594,0.13628
1.17433,0.1279
1.16949,0.12286
1.19531,0.13964
1.19369,0.13125
1.18885,0.1279
1.19853,0.12286
1.21306,0.14299
1.21306,0.13628
1.21306,0.13041
1.23403,0.14635
1.23242,0.13796
1.22758,0.13293
1.2534,0.15641
1.25179,0.14802
1.25179,0.14215
1.27115,0.16312
1.27115,0.15641
1.27115,0.15054
1.29051,0.16647
1.29051,0.15976
1.29051,0.15473
1.31149,0.16647
1.30504,0.15976
1.33086,0.17654
1.32924,0.16815
1.3244,0.16312
1.35022,0.18325
1.34861,0.17486
1.34377,0.17151
1.36797,0.18996
1.36797,0.18325
1.36313,0.17821
1.38734,0.19331
1.38734,0.1866
1.3825,0.18157
1.39702,0.20002
1.40831,0.19387
1.40186,0.18828
1.41638,0.20337
1.42768,0.21008
1.42768,0.19722
1.44543,0.21679
1.44543,0.21008
1.44543,0.20337
1.46641,0.22015
1.46479,0.2126
1.45995,0.20673
1.46479,0.2017
1.48577,0.2235
1.48416,0.21595
1.47932,0.2017
1.50514,0.23356
1.50352,0.22518
1.50352,0.21847
1.50352,0.2126
1.49868,0.20841
1.52289,0.23692
1.52289,0.23021
1.51805,0.2235
1.53418,0.24363
1.54225,0.23692
1.55193,0.25034
1.55193,0.24363
1.57291,0.25369
1.5713,0.24614
1.56646,0.24195
1.59228,0.2604
1.59066,0.25201
1.58582,0.24866
1.61164,0.27046
1.61003,0.26208
1.60519,0.25705
1.62939,0.27717
1.62939,0.27046
1.62455,0.26376
1.64069,0.28388
1.64391,0.27382
1.66005,0.29059
1.65844,0.28221
1.6536,0.27885
1.67942,0.2973
1.6778,0.28975
1.67296,0.28556
1.69878,0.30736
1.69717,0.29898
1.69233,0.29395
1.69233,0.28891
1.71653,0.31743
1.71653,0.31072
1.71653,0.30485
1.71169,0.29898
1.72783,0.32414
1.7359,0.31575
1.74719,0.33085
1.74558,0.3233
1.76656,0.34091
1.76494,0.33252
1.7601,0.32749
1.7601,0.32246
1.78592,0.35097
1.78431,0.34259
1.78431,0.33588
1.77947,0.33252
1.7956,0.36104
1.78915,0.32749
1.80529,0.35153
1.79883,0.34426
1.79883,0.33923
1.81497,0.37446
1.81335,0.36607
1.81335,0.35936
1.83272,0.38116
1.83272,0.37446
1.83272,0.36859
1.82788,0.36271
1.8424,0.38787
1.8537,0.39458
1.85208,0.38284
1.84724,0.37613
1.87145,0.39794
1.87145,0.39123
1.86661,0.3862
1.89243,0.40129
1.89081,0.39374
1.88597,0.38955
1.91018,0.40465
1.91018,0.39794
1.92954,0.40465
1.92954,0.39794
1.93922,0.39291
1.9489,0.40465
1.9489,0.39794
1.95859,0.39291
1.96988,0.40465
1.96827,0.3971
1.98925,0.41136
1.98763,0.40297
1.98279,0.39794
2.00861,0.41806
2.007,0.41052
2.00216,0.40632
2.007,0.39961
2.02636,0.42477
2.02636,0.41806
2.02152,0.41303
2.02636,0.39961
2.04734,0.42813
2.04573,0.42058
2.0667,0.43819
2.06509,0.42981
2.06025,0.42477
2.06025,0.41974
2.08607,0.44826
2.08446,0.43987
2.08446,0.43316
2.07961,0.42981
2.09575,0.45832
2.10543,0.44881
2.09898,0.44155
2.09898,0.43484
2.09898,0.42645
2.11512,0.46503
2.1135,0.45664
2.13448,0.46838
2.13287,0.46084
2.12803,0.45664
2.15384,0.47509
2.15223,0.46671
2.14739,0.46167
2.17321,0.4818
2.1716,0.47341
2.1716,0.46754
2.16675,0.46335
2.19257,0.48851
2.19096,0.48012
2.18612,0.47509
2.21032,0.49186
2.21032,0.48516
2.20548,0.48012
2.2313,0.49186
2.22969,0.48432
2.25067,0.49522
2.24905,0.48683
2.24421,0.48348
2.27003,0.50193
2.26842,0.49354
2.26358,0.48851
2.2894,0.50528
2.28778,0.4969
2.28294,0.49354
2.30876,0.51199
2.30715,0.50444
2.30231,0.50025
2.32651,0.5187
2.32651,0.51199
2.32651,0.50528
2.34749,0.52206
2.34588,0.51367
2.34103,0.50864
2.36685,0.53212
2.36524,0.52373
2.3604,0.5187
2.3604,0.51367
2.3846,0.53883
2.3846,0.53212
2.3846,0.52541
2.40397,0.54554
2.40397,0.53883
2.40397,0.53212
2.39913,0.52541
2.39913,0.5187
2.39913,0.51199
2.42495,0.54889
2.42333,0.54051
2.41849,0.53547
2.4427,0.55225
2.4427,0.54554
2.43786,0.54051
2.45399,0.55896
2.46206,0.54973
2.47336,0.56902
2.47174,0.56063
2.47174,0.55476
2.49272,0.57573
2.49111,0.56734
2.49111,0.56147
2.48627,0.55728
2.51209,0.58244
2.51047,0.57405
2.51047,0.56734
2.50563,0.56231
2.52984,0.58915
2.52984,0.58244
2.525,0.57573
2.525,0.56902
2.54113,0.59586
2.55082,0.58635
2.5605,0.60256
2.55888,0.59418
2.56372,0.58747
2.57986,0.60592
2.57825,0.59753
2.57825,0.59166
2.59923,0.61263
2.59761,0.60424
2.59761,0.59837
2.59277,0.59418
2.61698,0.61934
2.61698,0.61263
2.61698,0.60592
2.61698,0.60089
2.62666,0.62605
2.63634,0.61934
2.63634,0.61347
2.6315,0.6076
2.63634,0.60089
2.64764,0.63276
2.64602,0.62437
2.65086,0.61766
2.65086,0.60089
2.667,0.64282
2.66539,0.63443
2.66055,0.6294
2.66055,0.62437
2.68637,0.64953
2.68475,0.64114
2.68475,0.63527
2.70412,0.66295
2.70412,0.65624
2.70412,0.64953
2.70412,0.64366
2.69928,0.63611
2.69928,0.6294
2.72348,0.6663
2.72348,0.65959
2.72348,0.65372
2.73316,0.67301
2.74446,0.67972
2.74446,0.6663
2.738,0.65959
2.76382,0.68978
2.76221,0.6814
2.75737,0.67636
2.75737,0.67133
2.78319,0.69649
2.78157,0.68811
2.77673,0.68307
2.79287,0.70656
2.80255,0.69705
2.7961,0.68978
2.7961,0.68475
2.81224,0.71326
2.81062,0.70488
2.82192,0.72333
2.8316,0.71326
2.82514,0.70656
2.83967,0.73675
2.83967,0.73004
2.83967,0.72333
2.84935,0.74346
2.84451,0.7183
2.85903,0.75016
2.85903,0.73759
2.85903,0.72752
2.86871,0.75687
2.86871,0.74346
2.88001,0.76358
2.88001,0.75072
2.87356,0.73675
2.87356,0.73004
2.88808,0.77365
2.89776,0.78036
2.89776,0.76694
2.89776,0.76107
2.89292,0.7552
2.90744,0.79377
2.90744,0.78706
2.90744,0.77365
2.91874,0.80048
2.91874,0.78036
2.92842,0.79042
2.93649,0.8139
2.93649,0.80719
2.93649,0.80048
2.94779,0.82732
2.94617,0.81893
2.94617,0.79545
2.95585,0.81055
2.95101,0.80384
2.96554,0.83738
2.96554,0.83067
2.96554,0.82396
2.9607,0.81726
2.96554,0.79797
2.97522,0.8508
2.97522,0.84409
2.98651,0.85751
2.98651,0.83738
2.98006,0.83067
2.99458,0.86757
2.99458,0.84745
3.00427,0.88099
3.00427,0.87428
3.00427,0.86087
3.00427,0.85416
3.00427,0.84074
3.00427,0.83403
2.99942,0.82732
3.01556,0.8877
3.01556,0.86757
3.00911,0.84745
3.02363,0.89777
3.02363,0.87764
3.01879,0.85919
3.03331,0.91118
3.03331,0.90447
3.03331,0.89106
3.03331,0.88435
3.02847,0.87261
3.04299,0.9246
3.04299,0.91789
3.04299,0.89777
3.03815,0.87932
3.05429,0.94473
3.05268,0.93634
3.05268,0.92963
3.05268,0.91286
3.04784,0.90447
3.04784,0.89106
3.06236,0.96821
3.06236,0.9615
3.06236,0.95479
3.06236,0.92209
3.07204,0.98834
3.07204,0.98163
3.07204,0.97492
3.07204,0.94808
3.07204,0.94137
3.0672,0.93467
3.0672,0.92796
3.08172,1.0093
3.08172,1.00176
3.08172,0.99505
3.08172,0.96821
3.08172,0.9615
3.08172,0.95479
3.09141,1.04201
3.09141,1.0353
3.09141,1.02859
3.09141,1.02188
3.09141,1.01517
3.09141,0.98834
3.09141,0.98247
3.08656,0.97492
3.10109,1.07556
3.10109,1.06885
3.10109,1.06214
3.10109,1.05543
3.10109,1.04872
3.10109,1.00847
3.10109,1.00176
3.10109,0.99589
3.11077,1.10239
3.11077,1.09568
3.11077,1.08897
3.11077,1.08227
3.11077,1.04201
3.11077,1.0353
3.11077,1.02859
3.11077,1.02188
3.11077,1.01601
3.12207,1.12252
3.12045,1.11413
3.12045,1.10742
3.12207,1.07556
3.12045,1.06717
3.12045,1.06046
3.12045,1.05459
3.11561,1.04872
3.12045,0.99924
3.13175,1.15942
3.13013,1.15103
3.13013,1.14432
3.13013,1.13762
3.13013,1.13091
3.13175,1.09904
3.13013,1.09149
3.12529,1.08562
3.13982,1.1829
3.13982,1.17619
3.13982,1.16948
3.13982,1.12336
3.13498,1.11581
3.13498,1.1091
3.1495,1.18961
3.1495,1.16277
3.1495,1.15607
3.1495,1.14936
3.14466,1.14265
3.14466,1.13594
3.14466,1.12923
3.16079,1.1829
3.15918,1.17452
3.15918,1.16781
3.17048,1.15942
3.16886,1.15103
3.16402,1.14768
3.17855,1.18122
3.17855,1.17452
3.17855,1.16781
3.18016,1.14265
3.17855,1.13426
3.17855,1.12755
3.17855,1.12084
3.18984,1.15942
3.18823,1.15103
3.18984,1.11246
3.18823,1.10407
3.18823,1.09736
3.19307,1.16948
3.19952,1.14265
3.19791,1.13426
3.19791,1.12755
3.19791,1.12084
3.19952,1.08897
3.19791,1.08059
3.19791,1.07388
3.19791,1.06717
3.19791,1.06046
3.19307,1.05711
3.20275,1.15271
3.20921,1.11246
3.20759,1.10407
3.20759,1.09736
3.20921,1.05207
3.20759,1.04369
3.20759,1.03698
3.20759,1.03027
3.20759,1.02356
3.20759,1.01685
3.21243,1.08897
3.21727,1.08059
3.21727,1.07388
3.21727,1.06717
3.21727,1.06046
3.21889,1.00847
3.21727,1.00008
3.21727,0.99337
3.21727,0.98666
3.21727,0.97995
3.22696,1.0504
3.22696,1.04369
3.22696,1.03698
3.22696,1.03027
3.22696,1.02356
3.22696,1.01685
3.22857,0.97157
3.22696,0.96318
3.2318,1.00847
3.23664,1.00176
3.23664,0.99505
3.23664,0.98834
3.23664,0.98163
3.23664,0.95479
3.23664,0.94808
3.23664,0.94137
3.24632,0.97324
3.24632,0.96653
3.24632,0.95982
3.24793,0.93467
3.24632,0.92628
3.24632,0.91957
3.24632,0.91286
3.25116,0.9984
3.256,0.94976
3.256,0.94305
3.25762,0.90447
3.256,0.89609
3.25116,0.89273
3.26084,0.93467
3.26084,0.92796
3.26569,0.91957
3.26569,0.91286
3.2673,0.8877
3.26569,0.87932
3.27537,0.90447
3.27537,0.89777
3.27537,0.87177
3.28505,0.89106
3.28505,0.88435
3.28505,0.87764
3.28505,0.86422
3.29473,0.87093
3.29473,0.85751
