Frequency,Absorbance
0.65618,0.03137
0.76274,0.03605
0.78304,0.03123
0.84394,0.03475
0.86423,0.05271
0.87438,0.03472
0.88961,0.04909
0.89975,0.03289
0.93528,0.04184
0.96572,0.04421
0.99617,0.03818
1.02662,0.04653
1.04894,0.05394
1.0799,0.06505
1.07229,0.04888
1.11034,0.0803
1.10273,0.05244
1.11796,0.10517
1.14028,0.12216
1.1281,0.08118
1.15094,0.17645
1.1484,0.15068
1.15855,0.26274
1.15855,0.23697
1.15855,0.21539
1.15855,0.19622
1.17073,0.53134
1.1687,0.50306
1.1687,0.48148
1.1687,0.45991
1.1687,0.43833
1.1687,0.41676
1.1687,0.39518
1.1687,0.3736
1.1687,0.35203
1.1687,0.33045
1.1687,0.30888
1.1687,0.2873
1.15855,0.13149
1.18139,1.03944
1.17885,1.01367
1.17885,0.99209
1.17885,0.97052
1.17885,0.94894
1.17885,0.92737
1.17885,0.90579
1.17885,0.88421
1.17885,0.86264
1.17885,0.84106
1.17885,0.81949
1.17885,0.79791
1.17885,0.77634
1.17885,0.75476
1.17885,0.73319
1.17885,0.71161
1.17885,0.69003
1.17885,0.66846
1.17885,0.64688
1.17885,0.62531
1.17885,0.60373
1.17885,0.58216
1.17885,0.56058
1.1687,0.17463
1.1687,0.15305
1.189,2.07506
1.189,2.04929
1.189,2.02771
1.189,2.00613
1.189,1.98456
1.189,1.96298
1.189,1.94141
1.189,1.91983
1.189,1.89826
1.189,1.87668
1.189,1.85511
1.189,1.83353
1.189,1.81195
1.189,1.79038
1.189,1.7688
1.189,1.74723
1.189,1.72565
1.189,1.70408
1.189,1.6825
1.189,1.66092
1.189,1.63935
1.189,1.61777
1.189,1.5962
1.189,1.57462
1.189,1.55305
1.189,1.53147
1.189,1.5099
1.189,1.48832
1.189,1.46674
1.189,1.44517
1.189,1.42359
1.189,1.40202
1.189,1.38044
1.189,1.35887
1.189,1.33729
1.189,1.31572
1.189,1.29414
1.189,1.27256
1.189,1.25099
1.189,1.22941
1.189,1.20784
1.189,1.18626
1.189,1.16469
1.189,1.14311
1.189,1.12154
1.189,1.09996
1.189,1.07838
1.189,1.05921
1.189,0.26091
1.189,0.23933
1.189,0.22135
1.19915,2.5605
1.19915,2.53592
1.19915,2.51435
1.19915,2.49277
1.19915,2.4712
1.19915,2.44962
1.19915,2.42805
1.19915,2.40647
1.19915,2.38489
1.19915,2.36332
1.19915,2.34174
1.19915,2.32017
1.19915,2.29859
1.19915,2.27702
1.19915,2.25544
1.19915,2.23387
1.19915,2.21229
1.19915,2.19071
1.19915,2.16914
1.19915,2.14756
1.19915,2.12599
1.19915,2.10441
1.19915,0.53239
1.19915,0.50782
1.19915,0.48624
1.19915,0.46467
1.19915,0.44309
1.19915,0.42152
1.19915,0.39994
1.19915,0.37836
1.19915,0.35679
1.19915,0.33521
1.19915,0.32023
1.21133,1.0376
1.2093,1.00884
1.2093,0.98726
1.2093,0.96569
1.2093,0.94411
1.2093,0.92254
1.2093,0.90096
1.2093,0.87939
1.2093,0.85781
1.2093,0.83623
1.2093,0.81466
1.2093,0.79308
1.2093,0.77151
