Frequency,Absorbance
0.92889,0.00676
0.94717,0.00681
0.96544,0.00686
0.98371,0.00691
1.00198,0.00695
1.02027,0.00278
1.03854,0.00283
1.05681,0.00288
1.07508,0.00504
1.09335,0.0072
1.11162,0.00725
1.12989,0.00729
1.14816,0.00734
1.16643,0.00739
1.18471,0.00744
1.20298,0.00749
1.22125,0.00754
1.23952,0.00759
1.2578,0.00764
1.27607,0.00768
1.29434,0.00773
1.31261,0.00778
1.33088,0.00783
1.34916,0.00788
1.36743,0.00793
1.3857,0.00798
1.40397,0.00802
1.42225,0.00807
1.44051,0.01234
1.45878,0.01239
1.47705,0.01244
1.49684,0.0139
1.51357,0.02098
1.51361,0.00832
1.53184,0.02103
1.53188,0.00836
1.55011,0.02108
1.55015,0.00841
1.56384,0.01267
1.57751,0.02538
1.59578,0.02754
1.61404,0.0297
1.63229,0.03819
1.63233,0.02552
1.65056,0.03824
1.6506,0.02557
1.66881,0.04674
1.66886,0.02984
1.68709,0.04256
1.68714,0.02778
1.70538,0.03839
1.70542,0.02572
1.72362,0.04688
1.72368,0.02999
1.7419,0.04693
1.74194,0.03215
1.76169,0.04698
1.75565,0.03007
1.77842,0.05547
1.77845,0.0428
1.79819,0.06397
1.79673,0.04285
1.80135,0.02597
1.81491,0.07246
1.81496,0.05557
1.81501,0.04079
1.83318,0.07251
1.83323,0.05562
1.85145,0.07256
1.85151,0.05567
1.8697,0.08105
1.86975,0.06416
1.88797,0.0811
1.88802,0.06421
1.90625,0.08115
1.90629,0.06637
1.92449,0.08965
1.92454,0.07275
1.94276,0.08969
1.94282,0.0728
1.96101,0.09819
1.96106,0.0813
1.95653,0.06862
1.97926,0.10668
1.9793,0.0919
1.99751,0.11518
1.99756,0.09829
2.0173,0.11523
2.01126,0.09832
2.03402,0.12372
2.03408,0.10683
2.0523,0.12377
2.05235,0.10688
2.07057,0.12382
2.07061,0.10904
2.09029,0.14921
2.08883,0.12809
2.08887,0.11331
2.10697,0.17037
2.10702,0.15348
2.10708,0.13658
2.10255,0.1239
2.1026,0.10701
2.10265,0.09012
2.12527,0.16197
2.12532,0.14508
2.12537,0.1303
2.14358,0.14935
2.14363,0.13246
2.14367,0.11979
2.16333,0.16629
2.16187,0.14518
2.16192,0.12828
2.15738,0.11983
2.17239,0.19166
2.18008,0.16634
2.17556,0.14944
2.18912,0.19592
2.18917,0.17903
2.20741,0.19175
2.20746,0.17486
2.22568,0.1918
2.22573,0.17491
2.24395,0.19185
2.244,0.17496
2.26375,0.1919
2.26228,0.17289
2.25775,0.16232
2.28045,0.20884
2.2805,0.19194
2.27597,0.17926
2.30021,0.21733
2.29875,0.19833
2.31691,0.23427
2.31696,0.21738
2.31243,0.2047
2.33671,0.23432
2.33524,0.21532
2.35488,0.26816
2.35342,0.24704
2.35346,0.23226
2.34894,0.21746
2.37158,0.28509
2.37163,0.2682
2.36711,0.2513
2.36715,0.23863
2.39137,0.28514
2.38532,0.27246
2.39905,0.26405
2.39453,0.24715
2.40807,0.30208
2.40812,0.28519
2.41716,0.319
2.41273,0.27253
2.42624,0.33591
2.42634,0.30213
2.42181,0.28945
2.43543,0.31905
2.44451,0.33596
2.44003,0.30639
2.4537,0.31909
2.46279,0.33601
2.47187,0.35293
2.47197,0.31914
2.48248,0.36985
2.48258,0.33606
2.50073,0.37834
2.49926,0.35933
2.49472,0.34876
2.5174,0.40372
2.51745,0.38683
2.5175,0.36994
2.51297,0.35726
2.52795,0.43754
2.5265,0.41642
2.53113,0.39531
2.53117,0.38265
2.54468,0.44603
2.54473,0.42913
2.54478,0.41224
2.56295,0.44607
2.563,0.42918
2.56305,0.41229
2.56309,0.39962
2.58105,0.50313
2.58264,0.47991
2.58119,0.45879
2.58124,0.4419
