Frequency,Absorbance
0.92726,0.83736
0.96837,0.91011
1.01405,0.93831
1.04602,0.98723
1.07669,1.05852
1.11911,1.08202
1.15565,1.14791
1.19676,1.20207
1.24374,1.23808
1.27898,1.29471
1.32618,1.35376
1.36381,1.38975
1.40688,1.45397
1.44799,1.50543
1.47082,1.55145
1.51803,1.56685
1.55507,1.63875
1.59771,1.68029
1.63983,1.72484
1.67572,1.78286
1.71879,1.80379
1.7525,1.88462
1.77382,1.91982
1.81798,1.95126
1.86365,1.98541
1.90542,1.99884
1.95298,2.00544
1.9678,2.12029
1.95958,2.06617
2.01185,2.145
1.99155,2.1095
2.0555,2.1729
2.06464,2.12042
2.09204,2.32337
2.09204,2.25465
2.10509,2.19546
2.13772,2.32073
2.13772,2.25039
2.13315,2.39106
2.15028,2.17939
2.17974,2.26451
2.17731,2.17649
2.21283,2.32745
2.22908,2.40472
2.25851,2.31849
2.27749,2.43401
2.27475,2.38044
2.28128,2.60771
2.28389,2.53845
2.28389,2.5049
2.32435,2.43874
2.32043,2.37185
2.33642,2.50498
2.33688,2.32642
2.359,2.64509
2.35697,2.56885
2.35697,2.78457
2.35697,2.73046
2.35697,2.43737
2.37639,2.51315
2.38895,2.4834
2.40608,2.65522
2.38895,2.60786
2.41483,2.71791
2.40722,2.77021
2.44833,2.60902
2.46089,2.71076
2.45746,2.53297
2.46356,2.47449
2.46203,2.41858
2.48879,2.79042
2.49401,2.63641
2.50517,3.10732
2.50314,3.03223
2.50314,2.97812
2.50314,2.92401
2.50314,2.8699
2.50619,2.81724
2.50706,2.71933
2.50314,2.57447
2.54083,3.18838
2.54197,2.64662
2.53968,3.4197
2.53968,3.36559
2.53968,3.31148
2.53968,3.25737
2.5473,3.09866
2.54425,3.03283
2.54425,2.97872
2.54425,2.92461
2.54425,2.8705
2.54882,2.82018
2.54882,2.76608
2.54654,2.719
2.55567,2.58644
2.58765,2.67442
2.57623,2.54679
2.5958,2.75192
2.59754,2.59642
2.60566,2.84263
2.61538,3.02094
2.61277,2.95879
2.61277,2.91118
2.62495,3.09336
2.63104,2.66849
2.63332,2.50065
2.62647,2.43774
2.64018,2.75565
2.63713,2.58475
2.63104,2.35929
2.65083,2.83548
2.65114,3.22723
2.64931,3.15652
2.65388,3.0181
2.64931,2.94009
2.64474,2.89499
2.65845,3.0916
2.67786,2.69889
2.65845,2.65152
2.65845,2.50001
2.6889,2.7724
2.69803,2.83194
2.71529,3.20471
2.71326,3.12992
2.71326,3.07581
2.71022,3.01953
2.71326,2.93837
2.70869,2.86802
2.71326,3.70401
2.71326,3.64359
2.71783,3.58227
2.7224,3.52384
2.71783,3.47405
2.71783,3.41995
2.71783,3.36584
2.71783,3.31173
2.7224,3.26845
2.73356,2.75323
2.75372,2.82325
2.75323,2.65571
2.7498,2.58996
2.74589,2.52165
2.74067,3.19272
2.75894,3.12132
2.75894,3.06721
2.75589,3.00787
2.75163,2.43738
2.74752,2.36486
2.76077,2.94493
2.76807,2.89696
2.78064,2.74773
2.79091,2.82756
2.78634,2.66973
2.78634,2.61923
2.77721,2.50018
2.80665,3.50745
2.8069,3.4079
2.80462,3.33999
2.80157,3.28208
2.80804,3.15426
2.79548,3.10262
2.80119,3.02574
2.81506,3.65661
2.81375,3.5889
2.8168,3.2271
2.81558,3.83943
2.81832,3.7772
2.81832,3.7231
2.82837,2.91508
2.84116,2.99482
2.85715,3.52565
2.85334,3.45981
2.85029,3.40065
2.85029,3.34654
2.85029,3.29243
2.85232,3.15199
2.84573,3.07653
2.85029,3.02694
2.84768,2.8172
2.84573,2.74647
2.85486,3.23346
2.85029,2.91151
2.85029,2.7113
2.88481,3.7767
2.88887,3.67931
2.88455,3.60685
2.89858,3.53924
2.89597,3.48512
2.89597,3.43102
2.9348,3.67185
2.93251,3.60421
2.93454,3.35472
2.94165,3.53389
2.94165,3.47653
2.94165,3.43108
2.94051,3.25522
2.93251,3.21463
2.96449,4.01819
2.95992,3.96859
2.95992,3.91448
2.95992,3.86037
2.96906,3.80339
2.96906,3.74928
2.98124,3.70168
2.97819,3.63891
2.97819,3.5848
2.98022,3.39145
2.9795,3.30359
2.99037,3.52313
2.98733,3.46577
2.99037,3.26521
3.01676,3.79912
3.01676,3.20393
3.01473,3.12817
3.01473,3.07406
3.01473,3.01995
3.01169,2.96494
3.0259,3.69453
3.02387,3.61949
3.02387,3.56538
3.0259,3.36987
3.02387,3.29484
3.01816,2.86056
3.033,3.50479
3.02844,3.45014
3.03986,2.9271
3.02844,4.31317
3.02844,4.25907
3.033,4.20316
3.033,4.14905
3.033,4.09494
3.03757,4.03182
3.033,3.98672
3.033,3.93261
3.033,3.87851
3.04214,3.8208
3.04214,3.76669
3.04214,3.22561
3.04214,3.1715
3.06346,3.08856
3.06041,3.03896
3.06041,2.98755
3.06694,2.83103
3.0826,2.93966
3.07868,2.87665
3.06955,2.77113
3.06955,2.71702
3.06955,2.65317
3.10812,3.15235
3.10609,3.07744
3.10609,3.02008
3.11675,3.24194
3.12741,3.29967
3.12664,2.95383
3.13167,2.87727
3.13578,3.40024
3.1335,3.33034
3.1472,3.46383
3.1472,3.17886
3.1472,3.11212
3.14446,3.05332
3.16293,3.54201
3.14872,2.84338
3.16273,4.39831
3.1609,4.32598
3.15862,4.26466
3.16273,4.18025
3.16547,4.10775
3.16547,4.05364
3.17004,4.00062
3.16547,3.94542
3.16547,3.89132
3.16547,3.83721
3.16547,3.7831
3.16547,3.72899
3.16547,3.67488
3.17004,3.61537
3.15786,3.25823
3.1609,2.9904
3.15633,2.92005
3.1609,3.39892
3.1609,3.34481
3.19562,3.52342
3.21389,3.45527
3.23033,3.37629
3.23399,3.30884
3.23855,3.25023
3.24312,3.20208
3.24312,3.14797
3.24312,3.09386
3.24312,3.04408
3.24617,2.9842
3.25454,2.91748
3.25226,2.84714
3.24769,2.79302
3.24769,2.73891
3.24541,2.68615
3.29272,3.20895
3.2888,3.1437
3.2888,3.08959
3.28423,3.05279
3.2751,3.00408
3.31621,3.29092
3.33752,3.23143
3.33448,3.17407
3.33296,3.11419
3.33631,3.05611
3.36531,3.28557
3.3596,3.02179
3.34818,2.94467
3.34818,2.89236
3.35275,2.82804
3.35047,2.77964
3.38219,3.49302
3.38016,3.41654
3.38016,3.36243
3.38407,3.21526
3.38016,3.14599
3.38016,3.09333
3.40234,3.57086
3.41099,3.30187
3.40756,3.02266
3.41487,2.94945
3.42279,3.77444
3.42127,3.705
3.42583,3.65252
3.42736,3.49849
3.42583,3.43608
3.42583,3.38197
3.42736,3.22795
3.42583,3.16554
3.42583,3.11143
3.42766,4.06158
3.43497,3.99666
3.42583,3.93677
3.42583,3.88266
3.42127,3.83756
3.44715,3.59411
3.44639,3.53188
3.45527,3.31877
3.45527,3.04822
3.45324,2.97836
3.4441,2.81404
3.44867,2.90873
3.44867,2.76084
3.4738,3.45482
3.4738,3.39124
3.4738,3.23838
3.47151,3.16777
3.4738,3.12069
