Frequency,Absorbance
0.93995,0.01312
0.95822,0.01312
0.97649,0.01312
0.99477,0.01312
1.01304,0.01312
1.03131,0.01312
1.04959,0.01312
1.06786,0.01312
1.08613,0.01312
1.10441,0.01312
1.12268,0.01312
1.14095,0.01312
1.15922,0.01312
1.1775,0.01312
1.19577,0.01312
1.21404,0.01312
1.23232,0.01312
1.25058,0.01012
1.27038,0.01112
1.28715,0.01613
1.28711,0.00712
1.3054,0.01012
1.32367,0.01012
1.34349,0.01613
1.33736,0.00712
1.36026,0.02213
1.36022,0.01012
1.37851,0.01613
1.39679,0.01613
1.41661,0.02213
1.41048,0.01312
1.43338,0.02814
1.43333,0.01613
1.45163,0.02213
1.45159,0.01312
1.4699,0.02213
1.46987,0.01312
1.47909,0.03414
1.4897,0.02213
1.48357,0.01312
1.49739,0.04015
1.508,0.02814
1.50187,0.01913
1.52477,0.03414
1.52472,0.02213
1.54459,0.04015
1.54301,0.02513
1.53842,0.01913
1.56137,0.04615
1.56132,0.03414
1.56127,0.02363
1.57964,0.04615
1.57959,0.03414
1.57955,0.02513
1.59791,0.04615
1.59786,0.03414
1.59782,0.02363
1.61623,0.05816
1.61618,0.04615
1.61614,0.03414
1.61609,0.02363
1.63451,0.05816
1.63446,0.04615
1.63441,0.03414
1.65278,0.05816
1.65273,0.04615
1.65268,0.03414
1.67255,0.05216
1.67097,0.03714
1.66638,0.03114
1.69087,0.06417
1.68929,0.04916
1.68924,0.03714
1.68465,0.03114
1.70764,0.06717
1.70759,0.05516
1.70754,0.04465
1.72742,0.06417
1.72584,0.04916
1.72124,0.04315
1.74419,0.07017
1.74415,0.05816
1.7441,0.04765
1.76401,0.07618
1.76243,0.06117
1.75784,0.05516
1.78078,0.07918
1.78073,0.06717
1.78069,0.05666
1.79906,0.08218
1.79901,0.07017
1.79896,0.05816
1.80807,0.05066
1.81736,0.08819
1.81731,0.07618
1.81726,0.06417
1.82179,0.05516
1.83715,0.08819
1.83558,0.07468
1.83098,0.06717
1.85393,0.0942
1.85388,0.08218
1.85384,0.07318
1.8722,0.0942
1.87215,0.08218
1.87212,0.07318
1.8905,0.1002
1.89045,0.08819
1.8904,0.07618
1.8858,0.06717
1.90877,0.1002
1.90872,0.08819
1.90869,0.07918
1.92705,0.1002
1.927,0.08819
1.92696,0.07918
1.94687,0.10621
1.94528,0.09119
1.94069,0.08519
1.96516,0.11221
1.96359,0.0987
1.95898,0.08819
1.98194,0.11822
1.98189,0.10621
2.00021,0.11822
2.00016,0.10621
2.00927,0.0987
2.01851,0.12422
2.01846,0.11221
2.02756,0.1032
2.03833,0.13023
2.03675,0.11521
2.04126,0.1032
2.05663,0.13623
2.05505,0.12272
2.05045,0.11521
2.0734,0.14224
2.07335,0.13023
2.07332,0.12122
2.09322,0.14824
2.09164,0.13323
2.09159,0.12122
2.11003,0.16326
2.10998,0.15125
2.10994,0.14074
2.10533,0.13023
2.10528,0.11822
2.10524,0.10921
2.12982,0.16026
2.12824,0.14674
2.14811,0.16626
2.14653,0.15125
2.14192,0.14224
2.16491,0.17827
2.16486,0.16626
2.16481,0.15425
2.18318,0.17827
2.18314,0.16626
2.18309,0.15425
2.20146,0.17827
2.20141,0.16626
2.20136,0.15425
2.21973,0.17827
2.21968,0.16626
2.21963,0.15425
2.238,0.17827
2.23796,0.16626
2.23791,0.15575
2.25628,0.17827
2.25623,0.16626
2.25619,0.15725
2.27455,0.17827
2.2745,0.16626
2.27447,0.15725
2.29435,0.17827
2.29276,0.16326
2.28817,0.15725
2.31112,0.18428
2.31107,0.17227
2.31104,0.16326
2.32942,0.19028
2.32937,0.17827
2.32933,0.16926
2.34769,0.19028
2.34764,0.17827
2.34761,0.16926
2.36596,0.19028
2.36592,0.17827
2.36588,0.16926
2.38426,0.19629
2.38421,0.18428
2.38416,0.17227
2.40256,0.20229
2.40251,0.19028
2.40246,0.17827
2.42235,0.20229
2.42077,0.18728
2.41618,0.18127
2.44065,0.2083
2.43907,0.19328
2.43446,0.18428
2.45745,0.22031
2.4574,0.2083
2.45736,0.19779
2.47575,0.22631
2.4757,0.2143
2.47565,0.20229
2.47105,0.19328
2.49405,0.23232
2.494,0.22031
2.49396,0.2113
2.51384,0.23232
2.51226,0.21731
2.50767,0.2113
2.53062,0.23833
2.53057,0.22631
2.53053,0.21731
2.54891,0.24433
2.54887,0.23232
2.54882,0.22181
2.56871,0.24433
2.56713,0.22932
2.56253,0.22331
2.58703,0.25634
2.58545,0.24133
2.58541,0.23082
2.58081,0.22331
2.60383,0.26835
2.60378,0.25634
2.60374,0.24583
2.6221,0.26835
2.62205,0.25634
2.62201,0.24433
2.64192,0.27436
2.64034,0.25934
2.64029,0.24733
2.6357,0.24133
2.65872,0.28637
2.65867,0.27436
2.65862,0.26235
2.65858,0.25034
2.65397,0.24133
2.67702,0.29237
2.67697,0.28036
2.67693,0.26985
2.69534,0.30438
2.69529,0.29237
2.69524,0.28036
2.6952,0.26835
2.70453,0.3164
2.69972,0.25634
2.71361,0.30438
2.71357,0.29237
2.71352,0.28186
2.7228,0.3164
2.73351,0.32841
2.73341,0.30539
2.72728,0.29538
2.75028,0.33441
2.75023,0.3224
2.7502,0.31339
2.77008,0.33441
2.76849,0.3194
2.76845,0.30889
2.7869,0.35243
2.78685,0.34042
2.7868,0.32841
2.78676,0.3164
2.78215,0.30739
2.79761,0.36444
2.80515,0.34642
2.80511,0.33591
2.80048,0.3224
2.80045,0.31339
2.81595,0.38245
2.81437,0.36744
2.81432,0.35543
2.81884,0.34342
2.83428,0.39447
2.83269,0.37945
2.83265,0.36894
2.82805,0.36144
2.8526,0.40648
2.85101,0.39146
2.85097,0.38095
2.84637,0.37345
2.8694,0.41849
2.86935,0.40648
2.8693,0.39447
2.8647,0.38546
2.87858,0.4305
2.88929,0.44251
2.88919,0.41849
2.88305,0.40648
2.90764,0.46052
2.90605,0.44551
2.90601,0.435
2.9014,0.42449
2.92446,0.47854
2.92441,0.46653
2.92436,0.45452
2.92431,0.44251
2.91971,0.4335
2.93364,0.49055
2.94283,0.50256
2.94273,0.47854
2.94268,0.46653
2.93808,0.45752
2.95192,0.49055
2.96115,0.51457
2.9611,0.50256
2.96102,0.48154
2.97034,0.52658
2.97019,0.49055
2.98104,0.5386
2.98095,0.51457
2.97936,0.49956
2.9793,0.48455
2.99937,0.55061
2.99778,0.53559
2.99773,0.52358
2.99769,0.51157
2.99764,0.49956
3.00858,0.56862
3.00214,0.48455
3.00211,0.47554
3.01626,0.58664
3.01612,0.55061
3.01607,0.5386
3.01145,0.52658
3.0114,0.51457
3.01593,0.50406
3.02687,0.57463
3.02529,0.55961
3.03456,0.59264
3.03438,0.5476
3.04374,0.60465
3.04365,0.58063
3.03903,0.56862
3.03898,0.55661
3.05293,0.61667
3.05283,0.59264
3.06364,0.62868
3.06354,0.60465
3.05735,0.58063
3.06653,0.58964
3.08198,0.64669
3.0804,0.63168
3.08035,0.61967
3.07575,0.61066
3.07571,0.60165
3.10031,0.6587
