Frequency,Absorbance
0.84905,0.00205
0.86842,0.00204
0.87649,0.01933
0.88778,0.01284
0.88778,0.00419
0.89908,0.03877
0.89747,0.02796
0.89747,0.0204
0.90877,0.05174
0.90715,0.00309
0.91684,0.03714
0.92168,0.06038
0.92652,0.05173
0.92652,0.002
0.93782,0.04307
0.93459,0.03082
0.94589,0.00199
0.95719,0.04306
0.95558,0.03225
0.95558,0.02468
0.96526,0.00197
0.97656,0.06467
0.97495,0.05386
0.97495,0.04521
0.9701,0.03873
0.9701,0.03008
0.98463,0.00196
0.99431,0.06249
0.99431,0.05385
0.9927,0.04376
1.00561,0.03582
1.01368,0.05599
1.01368,0.04735
1.02337,0.06464
1.02175,0.03653
1.03467,0.07328
1.03467,0.0567
1.02821,0.04734
1.05242,0.07543
1.05242,0.06678
1.05242,0.05813
1.06211,0.04569
1.07179,0.06893
1.07179,0.06028
1.07341,0.03866
1.08309,0.05162
1.09277,0.07324
1.09116,0.06243
1.08632,0.04081
1.10084,0.08621
1.096,0.05378
1.11053,0.07755
1.11214,0.06674
1.11537,0.0862
1.13151,0.07754
1.1299,0.06673
1.1299,0.05916
1.14927,0.0905
1.14927,0.08185
1.14927,0.0732
1.14765,0.06239
1.15895,0.09914
1.16864,0.09049
1.17025,0.07967
1.17832,0.09697
1.18801,0.08615
1.18639,0.07534
1.19769,0.09479
1.19769,0.06884
1.20899,0.08613
1.20738,0.07641
1.21867,0.10775
1.21706,0.09694
1.22836,0.09045
1.23643,0.1099
1.23643,0.10125
1.24611,0.08881
1.2558,0.1034
1.26548,0.09474
1.26548,0.0861
1.27517,0.11204
1.27517,0.10339
1.28647,0.12068
1.28485,0.09798
1.29615,0.1077
1.29938,0.12067
1.30583,0.09832
1.31552,0.11201
1.32359,0.09741
1.33489,0.12064
1.33327,0.10983
1.33812,0.09902
1.35264,0.12928
1.35264,0.12063
1.35264,0.11198
1.37201,0.12494
1.37201,0.1163
1.37201,0.10765
1.39138,0.12493
1.393,0.11412
1.38654,0.10764
1.40107,0.14222
1.40107,0.13357
1.40914,0.12276
1.42044,0.14005
1.42044,0.1314
1.43173,0.1213
1.44142,0.13355
1.44949,0.12273
1.46079,0.15083
1.45917,0.14002
1.45433,0.13354
1.47854,0.1573
1.47854,0.14866
1.47693,0.13857
1.49953,0.1508
1.49791,0.13999
1.49791,0.13243
1.5189,0.15944
1.51728,0.14863
1.51244,0.1389
1.52697,0.17241
1.53665,0.16375
1.53665,0.1551
1.54633,0.17023
1.55763,0.15941
1.55602,0.14969
1.57539,0.17237
1.577,0.16156
1.57055,0.15184
1.58507,0.18102
1.59476,0.18966
1.59476,0.17236
1.60444,0.181
1.61413,0.16911
1.62543,0.18099
1.6335,0.17017
1.64479,0.19827
1.64318,0.18746
1.63834,0.18098
1.66255,0.20259
1.66094,0.19178
1.67385,0.186
1.68192,0.19825
1.6916,0.18635
1.7029,0.21553
1.70129,0.20472
1.70129,0.19716
1.72066,0.22201
1.72066,0.21336
1.72066,0.20579
1.71581,0.19606
1.74003,0.21983
1.73841,0.20902
1.74971,0.20469
1.76101,0.23279
1.75939,0.22306
1.75455,0.2155
1.77069,0.24576
1.78038,0.23638
1.78845,0.24791
1.79813,0.23709
1.80943,0.24573
1.8175,0.2587
1.81912,0.23708
1.8288,0.27599
1.82719,0.26518
1.82719,0.25329
1.84817,0.27814
1.84171,0.27165
1.86754,0.28245
